Precio;Direccion;Superficie;Dormitorios;Baños;Link;Comuna;Valor UF;Valor Pesos
"Desde
UF 3.554,24";Avenida Irarrázaval 2731, Ñuñoa;32 - 74 m² útiles ; 1 - 3 dormitorios  ; 1 - 2 baños;https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/7688-nunoa-connect-nva#position=14&type=item&tracking_id=149e246a-34b4-4f90-8727-b2c9224fd34a;Ñuñoa, RM (Metropolitana);UF 3.554,24;4
"Desde
UF 3.575";Nuncio Laghi 5600, Ñuñoa;31 - 69 m² útiles ; 1 - 3 dormitorios  ; 1 - 2 baños;https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/8194-egana-style-nva#position=12&type=item&tracking_id=149e246a-34b4-4f90-8727-b2c9224fd34a;Ñuñoa, RM (Metropolitana);UF 3.575;5
"Desde
UF 3.578";Av. Américo Vespucio 199, Ñuñoa;30 - 60 m² útiles ; 1 - 2 dormitorios  ; 1 - 2 baños;https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/9136-eco-egana-nva#position=43&type=item&tracking_id=69e2f639-8fa2-4031-a162-d8367205f002;Ñuñoa, RM (Metropolitana);UF 3.578;8
"Desde
UF 3.615,60";Av. Manuel Montt 2515, Ñuñoa;35 - 59 m² útiles ; 1 - 2 dormitorios  ; 1 - 2 baños;https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/8228-ciudadano-montt-nva#position=19&type=item&tracking_id=69e2f639-8fa2-4031-a162-d8367205f002;Ñuñoa, RM (Metropolitana);UF 3.615,60;0
"Desde
UF 3.640";Av. Las Condes 10557, Las Condes;29 - 67 m² útiles ; 1 - 2 dormitorios  ; 1 - 2 baños;https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/9384-hoy-estoril-nva#position=10&type=item&tracking_id=699f36d6-95c4-4ee0-82df-62ba498e1f35;Las Condes, RM (Metropolitana);UF 3.640;0
"Desde
UF 3.640";Calle 3 1302, La Reina;49 - 71 m² útiles ; 2 - 3 dormitorios  ; 1 - 2 baños;https://www.portalinmobiliario.com/venta/departamento/la-reina-metropolitana/8199-condominio-alto-la-reina-nva#position=10&type=item&tracking_id=88c81499-8111-450b-80da-245859599ab7;La Reina, RM (Metropolitana);UF 3.640;0
"Desde
UF 3.675";José Domingo Cañas 2640, Ñuñoa;36 - 57 m² útiles ; 1 - 2 dormitorios  ; 1 - 2 baños;https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/8177-edificio-jose-domingo-canas-2640-nva#position=16&type=item&tracking_id=149e246a-34b4-4f90-8727-b2c9224fd34a;Ñuñoa, RM (Metropolitana);UF 3.675;5
"Desde
UF 3.713";Av. José Artigas 2896, Ñuñoa;36 - 94 m² útiles ; 1 - 3 dormitorios  ; 1 - 3 baños;https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/7756-andes-los-leones-nva#position=8&type=item&tracking_id=69e2f639-8fa2-4031-a162-d8367205f002;Ñuñoa, RM (Metropolitana);UF 3.713;3
"Desde
UF 3.745";Bretaña 1993, Ñuñoa;37 - 92 m² útiles ; 1 - 3 dormitorios  ; 1 - 3 baños;https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/8286-plaza-manuel-montt-nva#position=3&type=item&tracking_id=149e246a-34b4-4f90-8727-b2c9224fd34a;Ñuñoa, RM (Metropolitana);UF 3.745;5
"Desde
UF 3.760";Luis Beltrán 1808, Ñuñoa;41 - 106 m² útiles ; 1 - 4 dormitorios  ; 1 - 3 baños;https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/9287-luis-beltran-1808-nva#position=27&type=item&tracking_id=149e246a-34b4-4f90-8727-b2c9224fd34a;Ñuñoa, RM (Metropolitana);UF 3.760;0
"Desde
UF 3.760";Dublé Almayda 2776, Ñuñoa;33 - 85 m² útiles ; 1 - 3 dormitorios  ; 1 - 2 baños;https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/8097-alto-duble-nva#position=3&type=item&tracking_id=69e2f639-8fa2-4031-a162-d8367205f002;Ñuñoa, RM (Metropolitana);UF 3.760;0
"Desde
UF 3.790";General José Artigas 3121, Ñuñoa;35 - 87 m² útiles ; 1 - 3 dormitorios  ; 1 - 2 baños;https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/9202-sucre-nva#position=13&type=item&tracking_id=149e246a-34b4-4f90-8727-b2c9224fd34a;Ñuñoa, RM (Metropolitana);UF 3.790;0
"Desde
UF 3.870";Dublé Almeyda 2980, Ñuñoa;33 - 63 m² útiles ; 1 - 2 dormitorios  ; 1 - 2 baños;https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/7831-duble-almeyda-2980-nva#position=45&type=item&tracking_id=149e246a-34b4-4f90-8727-b2c9224fd34a;Ñuñoa, RM (Metropolitana);UF 3.870;0
"Desde
UF 3.870";Av. Las Condes 12751, Las Condes;35 - 71 m² útiles ; 1 - 2 dormitorios  ; 1 - 2 baños;https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/8282-edificio-profile-nva#position=33&type=item&tracking_id=699f36d6-95c4-4ee0-82df-62ba498e1f35;Las Condes, RM (Metropolitana);UF 3.870;0
"Desde
UF 3.890";Arrieta Cañas 5725, La Reina;38 - 90 m² útiles ; 1 - 3 dormitorios  ; 1 - 3 baños;https://www.portalinmobiliario.com/venta/departamento/la-reina-metropolitana/9564-vista-egana-nva#position=3&type=item&tracking_id=88c81499-8111-450b-80da-245859599ab7;La Reina, RM (Metropolitana);UF 3.890;0
UF 3.900;Metro Manuel Montt, Providencia;40 m² útiles ; 1 dormitorio ; 1 baño;https://www.portalinmobiliario.com/MLC-537029905-departamento-en-venta-de-1-dorm-en-providencia-_JM#position=43&type=item&tracking_id=c8c46702-0b85-4661-a2cf-4c79733f78e3;Providencia, RM (Metropolitana);UF 3.900;0
"Desde
UF 3.900";Carol Urzúa 6945, Las Condes;29 - 66 m² útiles ; 1 - 2 dormitorios  ; 1 - 2 baños;https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/9602-cu-apartments-nva#position=34&type=item&tracking_id=699f36d6-95c4-4ee0-82df-62ba498e1f35;Las Condes, RM (Metropolitana);UF 3.900;0
"Desde
UF 3.915";General Mackenna 1531, Santiago;48 - 54 m² útiles ; 2 dormitorios  ; 2 baños;https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/6569-general-mackenna-nva#position=20&type=item&tracking_id=710b8e35-64c5-4445-90fe-500ed3a17690;Santiago, RM (Metropolitana);UF 3.915;5
"Desde
UF 3.965";Alonso De Ercilla 3100, Ñuñoa;42 - 95 m² útiles ; 1 - 3 dormitorios  ; 1 - 2 baños;https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/8086-alonso-de-ercilla-nva#position=26&type=item&tracking_id=149e246a-34b4-4f90-8727-b2c9224fd34a;Ñuñoa, RM (Metropolitana);UF 3.965;5
"Desde
UF 3.965";Lorenzo De Médicis 21, Las Condes;34 - 62 m² útiles ; 1 - 2 dormitorios  ; 1 - 2 baños;https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/8273-edificio-mirror-nva#position=19&type=item&tracking_id=699f36d6-95c4-4ee0-82df-62ba498e1f35;Las Condes, RM (Metropolitana);UF 3.965;5
